2026-09-17 16:34:03,557 - JOB [5a94f6d5-b168-4a44-b750-74caea82eeca] | Action: compress_start_fallback | Time: 2026-09-17T16:34:03.557034 | Details: {'level': 'high', 'orig_size_mb': 12.72, 'engine': 'pymupdf_fallback'}
2026-09-17 16:34:07,296 - JOB [5a94f6d5-b168-4a44-b750-74caea82eeca] | Action: compress_done | Time: 2026-09-17T16:34:07.296651 | Details: {'level': 'high', 'orig_mb': 12.72, 'compressed_mb': 3.01, 'duration_sec': 3.8}
2026-09-17 16:34:19,952 - JOB [232dd7cc-bd40-4a42-a223-44fc09909ccd] | Action: detect_watermarks | Time: 2026-09-17T16:34:19.952568 | Details: {'total_pages': 10, 'candidates_found': 0, 'sampled': 10, 'warning': None}
2026-09-17 16:34:20,218 - JOB [3f2b642f-554d-4190-8fe3-08767aac4285] | Action: detect_watermarks | Time: 2026-09-17T16:34:20.218011 | Details: {'total_pages': 10, 'candidates_found': 1, 'sampled': 10, 'warning': None}
2026-09-17 16:34:20,355 - JOB [65cd001a-90c1-4f18-8207-a109e7b5af30] | Action: watermark_remove_done | Time: 2026-09-17T16:34:20.355100 | Details: {'total_pages': 10, 'output_path': 'D:\\Coding\\compressor_remover\\backend\\temp\\cleaned_65cd001a-90c1-4f18-8207-a109e7b5af30.pdf'}
2026-09-17 16:34:20,683 - JOB [0811b114-9fb7-4924-92ff-bf71ce961d9a] | Action: detect_watermarks | Time: 2026-09-17T16:34:20.683470 | Details: {'total_pages': 10, 'candidates_found': 1, 'sampled': 10, 'warning': None}
2026-09-17 16:34:20,727 - JOB [d0055b22-4662-4b3e-a1c9-a5a9e7b6a75c] | Action: watermark_remove_done | Time: 2026-09-17T16:34:20.727741 | Details: {'total_pages': 10, 'output_path': 'D:\\Coding\\compressor_remover\\backend\\temp\\cleaned_d0055b22-4662-4b3e-a1c9-a5a9e7b6a75c.pdf'}
2026-09-17 16:34:21,071 - JOB [a785a75f-272a-46a5-8b25-9eea58c40699] | Action: detect_watermarks | Time: 2026-09-17T16:34:21.071686 | Details: {'total_pages': 500, 'candidates_found': 1, 'sampled': 12, 'warning': None}
2026-09-17 16:34:23,985 - JOB [29908da9-5e97-40b5-a68c-abc15f88b19b] | Action: watermark_remove_done | Time: 2026-09-17T16:34:23.985715 | Details: {'total_pages': 500, 'output_path': 'D:\\Coding\\compressor_remover\\backend\\temp\\cleaned_29908da9-5e97-40b5-a68c-abc15f88b19b.pdf'}
2026-09-17 16:34:57,920 - JOB [full_46mb_job] | Action: detect_watermarks | Time: 2026-09-17T16:34:57.919660 | Details: {'total_pages': 576, 'candidates_found': 1, 'sampled': 12, 'warning': None}
